"Titel","Album titel","SKU","Pris","Udgivet","Sti","Sti","Nid","Format"
"Badboe","One Of Those Days EP","BBP-034","60,00 kr.","1","http://rillbar.dk/sites/default/files/badboe-ep.png","Badboe-One Of Those Days EP","3087","<a href=""/da/12-ep"">12"" EP</a>"
"Badun","Last Night Sleep","MXMRLP076","75,00 kr.","1","http://rillbar.dk/sites/default/files/badun_lastnightsleep_300w_web__jpg_300x306_crop_upscale_q95_0.jpg","Badun-Last Night Sleep","3092","<a href=""/da/lp"">LP</a>"
"Badun","Last Night Sleep","MWMCD03","75,00 kr.","1","http://rillbar.dk/sites/default/files/badun_lastnightsleep_300w_web__jpg_300x306_crop_upscale_q95.jpg","Badun-Last Night Sleep","3091","<a href=""/da/cd"">CD</a>"
"Badun","Tandoori Tentacle","xmas001","50,00 kr.","1","","Badun-Tandoori Tentacle","3558","<a href=""/da/12-ep"">12"" EP</a>"
"Barra Head","Go Get Beat Up","PLAY/REC16-V","55,00 kr.","1","http://rillbar.dk/sites/default/files/barrahead_gogetbeatup_300w_web_jpg_300x306_crop_upscale_q95.jpg","Barra Head-Go Get Beat Up","3095","<a href=""/da/lp"">LP</a>"
"Barra Head","Undermine/Gradiska ","PLAY/REC21-V","15,00 kr.","1","http://rillbar.dk/sites/default/files/barrahead_undermine_300w_web_jpg_300x306_crop_upscale_q95.jpg","Barra Head-Undermine/Gradiska ","3094","<a href=""/da/7"">7""</a>"
"Barra Head","We Are Your Numbers","PLAY/REC27-V","30,00 kr.","1","http://rillbar.dk/sites/default/files/barrahead_weareyournumbers_300w_web_jpg_300x306_crop_upscale_q95.jpg","Barra Head-We Are Your Numbers","3093","<a href=""/da/lp"">LP</a>"
"Barra Head/Menfolk","Arrival/Are We Enemies","PLAY/REC13","30,00 kr.","1","http://rillbar.dk/sites/default/files/barrahead-menfolk_arrival_300w_web_jpg_300x306_crop_upscale_q95.jpg","Barra Head/Menfolk-Arrival/Are We Enemies","3096","<a href=""/da/12ep"">12""EP</a>"
"Beat Around The Bush","Kun En Smule Pr. Vers + Lidt Til","DVP028","35,00 kr.","1","http://rillbar.dk/sites/default/files/BATB-Kun1SmulePrVersOgLidtTilCDFront.jpg","Beat Around The Bush-Kun En Smule Pr. Vers + Lidt Til","3097","<a href=""/da/lp"">LP</a>"
"Beat Me Up Baby","Pull The Trigger On My Gub","DVPLK02","40,00 kr.","1","http://rillbar.dk/sites/default/files/Beat_Me_Up_Baby_-_pressefoto_jpg_300x306_crop_upscale_q95.jpg","Beat Me Up Baby-Pull The Trigger On My Gub","3098","<a href=""/da/12single"">12""SINGLE</a>"
